Sample in Buffer,Sample in Window,TRIGGER,design_1_i/AD7960_0_data_rd_rdy_o,design_1_i/AD7960_0_data_o[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
956,956,0,0,3e090
957,957,0,0,3c0b0
958,958,0,0,38161
959,959,0,0,302c3
960,960,0,0,20586
961,961,0,0,20d0d
962,962,0,0,00b0d
963,963,0,0,00b0d
964,964,0,0,00b0d
965,965,0,0,00b0d
966,966,0,0,00b0d
967,967,0,0,00b0d
968,968,0,0,00b0d
969,969,0,0,00b0d
970,970,0,0,00b0d
971,971,0,0,00b0d
972,972,0,0,00b0d
973,973,0,0,00b0d
974,974,0,0,00b0d
975,975,0,0,00b0d
976,976,0,0,00b0d
977,977,0,0,00b0d
978,978,0,0,00b0d
979,979,0,0,00b0d
980,980,0,0,00b0d
981,981,0,0,00b0d
982,982,0,0,00b0d
983,983,0,0,00b0d
984,984,0,0,00b0d
985,985,0,0,00b0d
986,986,0,0,00b0d
987,987,0,0,00b0d
988,988,0,1,00b0d
989,989,0,1,00b0d
990,990,0,1,00b0d
991,991,0,1,00b0d
992,992,0,0,00b0d
993,993,0,0,00b0d
994,994,0,0,00b0d
995,995,0,0,00b0d
996,996,0,0,3ffff
997,997,0,0,3ffff
998,998,0,0,3ffff
999,999,0,0,3ffff
1000,1000,0,0,3ffff
1001,1001,0,0,3ffff
1002,1002,0,0,3ffff
1003,1003,0,0,3ffff
1004,1004,0,0,3ffff
1005,1005,0,0,3ffff
1006,1006,0,0,3ffff
1007,1007,0,0,3ffff
1008,1008,0,0,3ffff
1009,1009,0,0,3ffff
1010,1010,0,0,3ffff
1011,1011,0,0,3ffff
1012,1012,0,0,3ffff
1013,1013,0,0,3ffff
1014,1014,0,0,3ffff
1015,1015,0,0,3fffe
1016,1016,0,0,3fffc
1017,1017,0,0,3fffc
1018,1018,0,0,3fff8
1019,1019,0,0,3fff0
1020,1020,0,0,3ffe1
1021,1021,0,0,3ffe2
1022,1022,0,0,3ffc2
1023,1023,0,0,3ff84
